Date,Close
2011-10-21,8.49
2011-10-24,8.54
2011-10-25,8.4
2011-10-26,8.48
2011-10-27,8.68
2011-10-28,8.67
2011-10-31,8.5
2011-11-01,8.31
2011-11-02,8.42
2011-11-03,8.55
2011-11-04,8.51
2011-11-07,8.56
2011-11-08,8.67
2011-11-09,8.41
2011-11-10,8.49
2011-11-11,8.65
2011-11-14,8.59
2011-11-15,8.62
2011-11-16,8.5
2011-11-17,8.39
2011-11-18,8.43
2011-11-21,8.27
2011-11-22,8.24
2011-11-23,8.1
2011-11-25,8.08
2011-11-28,8.27
2011-11-29,8.33
2011-11-30,8.64
2011-12-01,8.63
2011-12-02,8.61
2011-12-05,8.67
2011-12-06,8.7
2011-12-07,8.73
2011-12-08,8.58
2011-12-09,8.7
2011-12-12,8.59
2011-12-13,8.53
2011-12-14,8.46
2011-12-15,8.5
2011-12-16,8.5
2011-12-19,8.4
2011-12-20,8.61
2011-12-21,8.64
2011-12-22,8.68
2011-12-23,8.76
2011-12-27,8.79
2011-12-28,8.69
2011-12-29,8.78
2011-12-30,8.73
2012-01-03,8.81
2012-01-04,8.81
2012-01-05,8.8
2012-01-06,8.76
2012-01-09,8.78
2012-01-10,8.84
2012-01-11,8.81
2012-01-12,8.81
2012-01-13,8.77
2012-01-17,8.82
2012-01-18,8.89
2012-01-19,8.93
2012-01-20,8.95
2012-01-23,8.95
2012-01-24,8.94
2012-01-25,8.99
2012-01-26,8.96
2012-01-27,8.92
2012-01-30,8.89
2012-01-31,8.87
2012-02-01,8.93
2012-02-02,8.93
2012-02-03,9.02
2012-02-06,9.02
2012-02-07,9.03
2012-02-08,9.03
2012-02-09,9.03
2012-02-10,8.98
2012-02-13,9.02
2012-02-14,9.02
2012-02-15,8.97
2012-02-16,9.05
2012-02-17,9.1
2012-02-21,9.08
2012-02-22,9.06
2012-02-23,9.1
2012-02-24,9.12
2012-02-27,9.13
2012-02-28,9.16
2012-02-29,9.12
2012-03-01,9.15
2012-03-02,9.13
2012-03-05,9.12
2012-03-06,9.01
2012-03-07,9.06
2012-03-08,9.11
2012-03-09,9.13
2012-03-12,9.17
2012-03-13,9.28
2012-03-14,9.26
2012-03-15,9.29
2012-03-16,9.29
2012-03-19,9.26
2012-03-20,9.23
2012-03-21,9.22
2012-03-22,9.17
2012-03-23,9.19
2012-03-26,9.3
2012-03-27,9.29
2012-03-28,9.25
2012-03-29,9.27
2012-03-30,9.3
2012-04-02,9.36
2012-04-03,9.31
2012-04-04,9.26
2012-04-05,9.25
2012-04-09,9.15
2012-04-10,9.02
2012-04-11,9.08
2012-04-12,9.17
2012-04-13,9.1
2012-04-16,9.14
2012-04-17,9.24
2012-04-18,9.21
2012-04-19,9.17
2012-04-20,9.21
2012-04-23,9.13
2012-04-24,9.15
2012-04-25,9.24
2012-04-26,9.3
2012-04-27,9.31
2012-04-30,9.29
2012-05-01,9.33
2012-05-02,9.32
2012-05-03,9.29
2012-05-04,9.19
2012-05-07,9.19
2012-05-08,9.16
2012-05-09,9.09
2012-05-10,9.12
2012-05-11,9.12
2012-05-14,9.06
2012-05-15,9.03
2012-05-16,9.03
2012-05-17,8.92
2012-05-18,8.86
2012-05-21,8.94
2012-05-22,8.95
2012-05-23,8.94
2012-05-24,9
2012-05-25,8.96
2012-05-29,9.04
2012-05-30,8.94
2012-05-31,8.93
2012-06-01,8.76
2012-06-04,8.76
2012-06-05,8.79
2012-06-06,8.95
2012-06-07,9
2012-06-08,9.05
2012-06-11,8.99
2012-06-12,9.07
2012-06-13,9.03
2012-06-14,9.13
2012-06-15,9.2
2012-06-18,9.14
2012-06-19,9.2
2012-06-20,9.16
2012-06-21,9.01
2012-06-22,9.06
2012-06-25,8.95
2012-06-26,8.98
2012-06-27,9.06
2012-06-28,9.05
2012-06-29,9.25
2012-07-02,9.25
2012-07-03,9.3
2012-07-05,9.28
2012-07-06,9.23
2012-07-09,9.21
2012-07-10,9.18
2012-07-11,9.17
2012-07-12,9.16
2012-07-13,9.29
2012-07-16,9.27
2012-07-17,9.33
2012-07-18,9.4
2012-07-19,9.44
2012-07-20,9.37
2012-07-23,9.28
2012-07-24,9.2
2012-07-25,9.23
2012-07-26,9.38
2012-07-27,9.5
2012-07-30,9.52
2012-07-31,9.48
2012-08-01,9.46
2012-08-02,9.38
2012-08-03,9.52
2012-08-06,9.5
2012-08-07,9.52
2012-08-08,9.54
2012-08-09,9.53
2012-08-10,9.56
2012-08-13,9.54
2012-08-14,9.57
2012-08-15,9.57
2012-08-16,9.61
2012-08-17,9.61
2012-08-20,9.61
2012-08-21,9.57
2012-08-22,9.54
2012-08-23,9.48
2012-08-24,9.55
2012-08-27,9.55
2012-08-28,9.55
2012-08-29,9.54
2012-08-30,9.49
2012-08-31,9.54
2012-09-04,9.51
2012-09-05,9.49
2012-09-06,9.65
2012-09-07,9.64
2012-09-10,9.59
2012-09-11,9.61
2012-09-12,9.59
2012-09-13,9.72
2012-09-14,9.73
2012-09-17,9.65
2012-09-18,9.65
2012-09-19,9.65
2012-09-20,9.65
2012-09-21,9.65
2012-09-24,9.67
2012-09-25,9.61
2012-09-26,9.57
2012-09-27,9.62
2012-09-28,9.58
2012-10-01,9.62
2012-10-02,9.61
2012-10-03,9.63
2012-10-04,9.68
2012-10-05,9.72
2012-10-08,9.71
2012-10-09,9.64
2012-10-10,9.55
2012-10-11,9.55
2012-10-12,9.55
2012-10-15,9.64
2012-10-16,9.72
2012-10-17,9.74
2012-10-18,9.75
2012-10-19,9.62
2012-10-22,9.61
2012-10-23,9.48
2012-10-24,9.45
2012-10-25,9.5
2012-10-26,9.48
2012-10-31,9.49
2012-11-01,9.56
2012-11-02,9.48
2012-11-05,9.48
2012-11-06,9.56
2012-11-07,9.39
2012-11-08,9.28
2012-11-09,9.3
2012-11-12,9.3
2012-11-13,9.29
2012-11-14,9.18
2012-11-15,9.15
2012-11-16,9.19
2012-11-19,9.31
2012-11-20,9.32
2012-11-21,9.34
2012-11-23,9.46
2012-11-26,9.44
2012-11-27,9.41
2012-11-28,9.48
2012-11-29,9.5
2012-11-30,9.54
2012-12-03,9.47
2012-12-04,9.47
2012-12-05,9.5
2012-12-06,9.54
2012-12-07,9.59
2012-12-10,9.59
2012-12-11,9.64
2012-12-12,9.62
2012-12-13,9.57
2012-12-14,9.56
2012-12-17,9.62
2012-12-18,9.7
2012-12-19,9.64
2012-12-20,9.68
2012-12-21,9.61
2012-12-24,9.49
2012-12-26,9.44
2012-12-27,9.43
2012-12-28,9.32
2012-12-31,9.45
2013-01-02,9.65
2013-01-03,9.64
2013-01-04,9.69
2013-01-07,9.66
2013-01-08,9.63
2013-01-09,9.67
2013-01-10,9.73
2013-01-11,9.74
2013-01-14,9.76
2013-01-15,9.78
2013-01-16,9.77
2013-01-17,9.87
2013-01-18,9.88
2013-01-22,9.9
2013-01-23,9.92
2013-01-24,9.96
2013-01-25,10
2013-01-28,10
2013-01-29,10.06
2013-01-30,10.02
2013-01-31,9.97
2013-02-01,10.07
2013-02-04,9.97
2013-02-05,10.05
2013-02-06,10.06
2013-02-07,10.06
2013-02-08,10.08
2013-02-11,10.08
2013-02-12,10.1
2013-02-13,10.09
2013-02-14,10.1
2013-02-15,10.11
2013-02-19,10.18
2013-02-20,10.11
2013-02-21,10.09
2013-02-22,10.16
2013-02-25,10.03
2013-02-26,10.1
2013-02-27,10.2
2013-02-28,10.18
2013-03-01,10.22
2013-03-04,10.27
2013-03-05,10.34
2013-03-06,10.35
2013-03-07,10.36
2013-03-08,10.4
2013-03-11,10.43
2013-03-12,10.43
2013-03-13,10.45
2013-03-14,10.48
2013-03-15,10.46
2013-03-18,10.35
2013-03-19,10.37
2013-03-20,10.45
2013-03-21,10.41
2013-03-22,10.49
2013-03-25,10.46
2013-03-26,10.55
2013-03-27,10.55
2013-03-28,10.6
2013-04-01,10.57
2013-04-02,10.62
2013-04-03,10.53
2013-04-04,10.57
2013-04-05,10.53
2013-04-08,10.58
2013-04-09,10.64
2013-04-10,10.73
2013-04-11,10.75
2013-04-12,10.75
2013-04-15,10.54
2013-04-16,10.68
2013-04-17,10.59
2013-04-18,10.57
2013-04-19,10.7
2013-04-22,10.76
2013-04-23,10.85
2013-04-24,10.82
2013-04-25,10.84
2013-04-26,10.83
2013-04-29,10.9
2013-04-30,10.91
2013-05-01,10.84
2013-05-02,10.93
2013-05-03,11.03
2013-05-06,11.02
2013-05-07,11.06
2013-05-08,11.07
